CMDLINE /usr/bin/python3 launcher.py
MEM 174.703125 1555054002.3786
MEM 174.703125 1555054002.5010
MEM 174.703125 1555054002.6302
MEM 174.703125 1555054002.7520
MEM 174.703125 1555054002.8701
MEM 174.703125 1555054002.9899
MEM 174.703125 1555054003.1224
MEM 174.703125 1555054003.2522
MEM 174.703125 1555054003.4050
MEM 174.703125 1555054003.5391
MEM 174.703125 1555054003.6911
MEM 174.703125 1555054003.8224
MEM 174.703125 1555054003.9495
MEM 174.703125 1555054004.0835
MEM 174.703125 1555054004.2231
MEM 174.703125 1555054004.3697
MEM 174.703125 1555054004.5064
MEM 174.703125 1555054004.6433
MEM 174.703125 1555054004.7675
MEM 174.703125 1555054004.8944
MEM 174.703125 1555054005.0369
MEM 174.703125 1555054005.1699
MEM 174.703125 1555054005.2918
MEM 174.703125 1555054005.4142
MEM 174.703125 1555054005.5457
MEM 174.703125 1555054005.6772
MEM 174.703125 1555054005.8019
MEM 174.703125 1555054005.9362
MEM 174.703125 1555054006.0630
MEM 174.703125 1555054006.1900
MEM 174.703125 1555054006.3227
MEM 174.703125 1555054006.4596
MEM 174.703125 1555054006.5927
MEM 174.703125 1555054006.7287
MEM 174.703125 1555054006.8593
MEM 174.703125 1555054006.9897
MEM 174.703125 1555054007.1058
MEM 174.703125 1555054007.2230
MEM 174.703125 1555054007.3385
MEM 174.703125 1555054007.4520
MEM 174.703125 1555054007.5656
MEM 174.703125 1555054007.6830
MEM 174.703125 1555054007.8042
MEM 174.703125 1555054007.9237
MEM 174.703125 1555054008.0432
MEM 174.703125 1555054008.1626
MEM 174.703125 1555054008.2821
MEM 174.703125 1555054008.4011
MEM 174.703125 1555054008.5204
MEM 174.703125 1555054008.6428
MEM 174.703125 1555054008.7667
MEM 174.703125 1555054008.8819
MEM 174.703125 1555054008.9951
MEM 174.703125 1555054009.1083
MEM 174.703125 1555054009.2239
MEM 174.703125 1555054009.3377
MEM 174.703125 1555054009.4512
MEM 174.703125 1555054009.5839
MEM 174.703125 1555054009.7019
MEM 174.703125 1555054009.8157
MEM 174.703125 1555054009.9290
MEM 174.703125 1555054010.0426
MEM 174.703125 1555054010.1559
MEM 174.703125 1555054010.2695
MEM 174.703125 1555054010.3830
MEM 174.703125 1555054010.4964
MEM 174.703125 1555054010.6195
MEM 174.703125 1555054010.7488
MEM 174.703125 1555054010.8661
MEM 174.703125 1555054010.9794
MEM 174.703125 1555054011.0929
MEM 174.703125 1555054011.2064
MEM 174.703125 1555054011.3202
MEM 174.703125 1555054011.4338
MEM 174.703125 1555054011.5598
MEM 174.703125 1555054011.6915
MEM 174.703125 1555054011.8053
MEM 174.703125 1555054011.9190
MEM 174.703125 1555054012.0325
MEM 174.703125 1555054012.1459
MEM 174.703125 1555054012.2595
MEM 174.703125 1555054012.3729
MEM 174.703125 1555054012.4862
MEM 174.703125 1555054012.6050
MEM 174.703125 1555054012.7263
MEM 174.703125 1555054012.8414
MEM 174.703125 1555054012.9545
MEM 174.703125 1555054013.0677
MEM 174.703125 1555054013.1811
MEM 174.703125 1555054013.2947
MEM 174.703125 1555054013.4079
MEM 174.703125 1555054013.5215
MEM 174.703125 1555054013.6350
MEM 174.703125 1555054013.7485
MEM 174.703125 1555054013.8637
MEM 174.703125 1555054013.9780
MEM 174.703125 1555054014.0925
MEM 174.703125 1555054014.2136
MEM 174.703125 1555054014.3390
MEM 174.703125 1555054014.4688
MEM 174.703125 1555054014.5833
MEM 174.703125 1555054014.7060
MEM 174.703125 1555054014.8371
MEM 174.703125 1555054014.9667
MEM 174.703125 1555054015.0925
MEM 174.703125 1555054015.2160
MEM 173.671875 1555054015.3414
MEM 173.671875 1555054015.4631
MEM 173.671875 1555054015.5860
MEM 173.671875 1555054015.7077
MEM 173.671875 1555054015.8271
MEM 173.671875 1555054015.9447
MEM 173.671875 1555054016.0630
MEM 173.671875 1555054016.1819
MEM 173.671875 1555054016.2996
MEM 173.671875 1555054016.4167
MEM 173.671875 1555054016.5351
MEM 173.671875 1555054016.6549
MEM 173.671875 1555054016.7747
MEM 174.218750 1555054016.8929
MEM 185.562500 1555054017.0110
MEM 203.609375 1555054017.1293
MEM 219.593750 1555054017.2491
MEM 237.898438 1555054017.3768
MEM 142.906250 1555054017.4946
MEM 154.507812 1555054017.6142
MEM 158.375000 1555054017.7309
MEM 171.265625 1555054017.8498
MEM 189.828125 1555054017.9639
MEM 208.390625 1555054018.0776
MEM 228.242188 1555054018.1913
MEM 246.289062 1555054018.3050
MEM 263.304688 1555054018.4186
MEM 284.703125 1555054018.5322
MEM 305.585938 1555054018.6467
MEM 325.179688 1555054018.7608
MEM 325.179688 1555054018.8748
MEM 155.539062 1555054018.9923
MEM 161.726562 1555054019.1223
MEM 164.562500 1555054019.2559
MEM 164.562500 1555054019.3802
MEM 164.562500 1555054019.5041
MEM 164.562500 1555054019.6419
MEM 164.562500 1555054019.7828
MEM 164.562500 1555054019.9171
MEM 164.562500 1555054020.0817
MEM 165.078125 1555054020.2476
MEM 168.945312 1555054020.3947
MEM 185.703125 1555054020.5456
MEM 199.367188 1555054020.6830
MEM 212.773438 1555054020.8306
MEM 232.109375 1555054020.9805
MEM 237.781250 1555054021.1235
MEM 142.136719 1555054021.2850
MEM 142.136719 1555054021.4344
MEM 142.136719 1555054021.5907
MEM 142.136719 1555054021.7264
MEM 142.136719 1555054021.8706
MEM 142.136719 1555054022.0101
MEM 142.136719 1555054022.1478
MEM 142.136719 1555054022.2946
MEM 142.136719 1555054022.4300
MEM 142.136719 1555054022.5628
MEM 142.136719 1555054022.7007
MEM 142.136719 1555054022.8511
MEM 142.136719 1555054022.9962
MEM 142.136719 1555054023.1336
MEM 142.136719 1555054023.2671
MEM 142.136719 1555054023.3965
MEM 149.351562 1555054023.5314
MEM 166.625000 1555054023.6585
MEM 186.476562 1555054023.7879
MEM 198.593750 1555054023.9252
MEM 211.226562 1555054024.0892
